AdvertisementID,Duration,Budget,Priority,PreferredSlot
AD001,60,11450,2,Afternoon
AD002,45,9000,3,Evening
AD003,40,8800,4,PrimeTime
AD004,30,7250,5,Morning
AD005,20,5700,6,Afternoon
AD006,15,5500,7,Evening
AD007,60,13850,8,PrimeTime
AD008,45,11400,9,Morning
AD009,40,11200,10,Afternoon
AD010,30,5650,1,Evening
AD011,20,4100,2,PrimeTime
AD012,15,3900,3,Morning
AD013,60,12250,4,Afternoon
AD014,45,9800,5,Evening
AD015,40,9600,6,PrimeTime
AD016,30,8050,7,Morning
AD017,20,6500,8,Afternoon
AD018,15,6300,9,Evening
AD019,60,14650,10,PrimeTime
AD020,45,8200,1,Morning
AD021,40,8000,2,Afternoon
AD022,30,6450,3,Evening
AD023,20,4900,4,PrimeTime
AD024,15,4700,5,Morning
AD025,60,13050,6,Afternoon
AD026,45,10600,7,Evening
AD027,40,10400,8,PrimeTime
AD028,30,8850,9,Morning
AD029,20,7300,10,Afternoon
AD030,15,3100,1,Evening
AD031,60,11450,2,PrimeTime
AD032,45,9000,3,Morning
AD033,40,8800,4,Afternoon
AD034,30,7250,5,Evening
AD035,20,5700,6,PrimeTime
AD036,15,5500,7,Morning
AD037,60,13850,8,Afternoon
AD038,45,11400,9,Evening
AD039,40,11200,10,PrimeTime
AD040,30,5650,1,Morning
AD041,20,4100,2,Afternoon
AD042,15,3900,3,Evening
AD043,60,12250,4,PrimeTime
AD044,45,9800,5,Morning
AD045,40,9600,6,Afternoon
AD046,30,8050,7,Evening
AD047,20,6500,8,PrimeTime
AD048,15,6300,9,Morning
AD049,60,14650,10,Afternoon
AD050,45,8200,1,Evening
